Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
The Fiji Times,thefijitimes,1.00065E+14,TOPIC_NEWSPAPER,FJ,"The Fiji Times newspaper company based in Suva, Fiji.
""YOUR VOICE Since 1869""",39461.20764,221682,286839,2021-09-18 17:03:10 EDT,44457,0.710532407,Link,5384,3810,316,95,1101,27,2,3,1,29,,-,0,0,0,N/A,https://www.facebook.com/7130088677/posts/10159840688283678,"#LOCALNEWS Former Adi Cakobau School student, Mavis Fatiaki made a historic achievement after being the first Fijian police officer to have attained a Masters Degree from the People’s Public Security University (PPSUC) in Beijing, China. #TimesNews #FijiNews #FijiPolice",https://www.fijitimes.com/historic-achievement-for-inspector-fatiaki/,,,Historic achievement for Inspector Fatiaki,"Former Adi Cakobau School student, Mavis Fatiaki made a historic achievement after being the first Fijian police officer to have attained a Masters Degree from the People’s Public Security University (PPSUC) in Beijing, China.",,,,5384,67.3
Fiji Sun,fijisun,7.76984E+14,MEDIA_NEWS_COMPANY,FJ,"Bringing you the best and latest in Fiji's current affairs, sports, events, analysis and business news!! 

",41897.92014,235922,264981,2021-12-20 21:00:00 EST,44550,0.875,Link,5083,3890,0,172,915,69,6,2,1,28,,-,0,0,0,N/A,https://www.facebook.com/776984482353833/posts/4824271537625087,"Kaila Na Ua Resort, an investment of $4.68 million (NZ$3.25 million) opens on New Year’s Day. The resort located on Sunset Strip, Korotogo is owned by Rosalind and Warren Lake. Mrs Lake is no stranger to Fiji, she was born here. With the international borders slowly reopening, the target market for this new resort is international guests from Australia, New Zealand, America, China, Canada, and Europe. #FijiSun #FijiNews #SUNBizNews #FijiNowOpen #WhereHappinessFindsYou",https://fijisun.com.fj/2021/12/21/new-resort-on-sunset-strip-in-korotogo-kaila-na-ua-to-open-new-years-day/,,,"New Resort on Sunset Strip in Korotogo, Kaila Na Ua, to Open New Year’s Day",The room rates range from $520 to $325. ...,,,,5083,10.91
Fiji Sun,fijisun,7.76984E+14,MEDIA_NEWS_COMPANY,FJ,"Bringing you the best and latest in Fiji's current affairs, sports, events, analysis and business news!! 

",41897.92014,225431,246136,2021-06-27 23:11:16 EDT,44374,0.966157407,Link,5034,3501,121,137,1174,77,5,1,0,18,,-,0,0,0,N/A,https://www.facebook.com/776984482353833/posts/4272682892783957,"It is hard for anyone driving pass Pacific Harbour not to notice a colourful Jimbo’s ice cream cart parked on the road side near Arts village. A loud greeting voice, “Bula, would you like to try our ice cream special” makes every customer feel the five-star treatment on the roadside. #FijiSun #FijiNews",https://fijisun.com.fj/?p=538843,https://fijisun.com.fj/2021/06/28/jimbos-ice-cream-cart-a-place-to-be/,,"‘Jimbo’s Ice Cream Cart, A Place To Be’","Owner, Emma Levaci said they started the business after importing the electric cart from China in September last year....",,,,5034,10.8
FBC News,fijibroadcastingcorporation.news,1.0007E+14,BROADCASTING_MEDIA_PRODUCTION,FJ,Official FB page for Fiji's leading news broadcaster under the Fiji Broadcasting Corporation.'LIVE' ,41801.11042,231175,266656,2021-06-02 02:50:51 EDT,44349,0.118645833,Link,3287,1295,372,646,21,501,384,35,28,5,,-,0,0,0,N/A,https://www.facebook.com/527987560656455/posts/3817473321707846,A 41-year-old Chinese man has been confirmed as the first human case of infection with a rare bird flu strain. #WorldNews,https://www.fbcnews.com.fj/world/china-sees-first-human-case-of-rare-h10n3-strain/,,,China sees first human case of rare H10N3 strain,"World China sees first human case of rare H10N3 strain | @BBCWorld June 2, 2021 6:48 pm It is not unheard of that people working with poultry occasionally get infected A 41-year-old Chinese man has been confirmed as the first human case of infection with a rare bird flu strain. Officials did not giv...",,,,3287,19
fijivillage,fijivillage,1.00068E+14,NEWS_SITE,FJ,Official Facebook Page for fijivillage.com | Linktree: https://linktr.ee/fijivillage,40575.98472,313465,354040,2022-11-28 15:10:17 EST,44893,0.632141204,Link,3169,2622,0,40,470,18,2,0,0,17,,-,0,0,0,N/A,https://www.facebook.com/100068038061104/posts/476511511293447,Kolinisau guides China Women's team to win Asia Pacific Rugby 7's Series #SportsNews #7sRugby🏉,https://www.fijivillage.com/sports/Kolinisau-guides-China-Womens-team-to-win-Asia-Pacific-Rugby-7s--Series-58rfx4/,,,Kolinisau guides China Women's team to win Asia Pacific Rugby 7's Series,Former Fiji Sevens Captain and Olympic Gold medalist Osea Kolinisau has successfully led his China Women's Team to win the Asia Rugby Sevens Series ov,,,,3169,23.3
EMTV Online,EMTVonline,8.74725E+14,MEDIA_NEWS_COMPANY,PG,"Tweet us: https://twitter.com/EMTVOnline
Insta https://instagram.com/emtvonline/
",41927.95139,121819,126393,2020-02-05 02:07:39 EST,43866,0.088645833,Photo,2941,1689,278,330,587,27,8,22,0,0,,-,0,0,0,N/A,https://www.facebook.com/874724655878768/posts/3684757754875430,"#UPDATE They've Landed! In the latest report on the PNG students evacuated from Wuhan, China, all 17 are confirmed to have just arrived safely in New Zealand, where they will undergo medical checks and a 14 day quarantine, before being allowed to return to Papua New Guinea. #pnghealth #PNG #NZ #NZgov #PNGDFAIT #wuhan #china",https://www.facebook.com/EMTVonline/photos/a.876972895653944/3684757381542134/?type=3,,,Photos from EMTV Online's post,,,,,2941,12.2
Fiji Sun,fijisun,7.76984E+14,MEDIA_NEWS_COMPANY,FJ,"Bringing you the best and latest in Fiji's current affairs, sports, events, analysis and business news!! 

",41897.92014,225496,246238,2021-06-28 22:31:32 EDT,44375,0.938564815,Link,2690,1706,151,93,698,23,1,2,0,16,,-,0,0,0,N/A,https://www.facebook.com/776984482353833/posts/4275404709178442,"Not even COVID-19 was able to alter the course of success for Wuhan Master’s graduate Joseva Racaca. Being at the epicenter of the coronavirus outbreak in Wuhan, China last year, Mr Racaca knew the challenge of what it was like to be confined in the four corners of his room alone for 74 days as the city had fought to contain the virus. On Sunday, the Nanukuloa, Saivou, Ra native received his Masters of Engineering majoring in Cartography and Geographic Information Engineering from the China University of Geosciences in Wuhan. #FijiSun #FijiNews",https://fijisun.com.fj/?p=538897,https://fijisun.com.fj/2021/06/29/covid-19-fails-to-deter-racaca/,,COVID-19 Fails to Deter Racaca,"Not even COVID-19 was able to alter the course of success for Wuhan Master’s graduate Joseva Racaca. Being at the epicenter of the coronavirus outbreak in Wuhan, China last year,...",,,,2690,5.77
FBC News,fijibroadcastingcorporation.news,1.0007E+14,BROADCASTING_MEDIA_PRODUCTION,FJ,Official FB page for Fiji's leading news broadcaster under the Fiji Broadcasting Corporation.'LIVE' ,41801.11042,295523,341979,2023-02-01 02:27:20 EST,44958,0.102314815,Native Video,2252,1958,0,152,40,43,37,3,6,13,owned,Yes,53460,58508,0,0.00150463,https://www.facebook.com/100070340624461/posts/246173881070631,More than hundreds of workers of China Railway 5th group at the Nokonoko Depot went on strike today. #FBCNews #FijiNews #Fiji #FJunited,https://www.facebook.com/fijibroadcastingcorporation.news/videos/495783655963115/,,,,,,,,2252,7.51
fijivillage,fijivillage,1.00068E+14,NEWS_SITE,FJ,Official Facebook Page for fijivillage.com | Linktree: https://linktr.ee/fijivillage,40575.98472,256194,283164,2021-04-14 23:57:05 EDT,44300,0.997974537,Link,2252,1127,351,118,51,162,415,13,9,6,,-,0,0,0,N/A,https://www.facebook.com/147992748592074/posts/4293666134024694,China gives $1.5m worth of equipment to the Fiji Police Force #FijiNews 📰 #TeamFiji🌴 #Police👮,https://www.fijivillage.com/news/China-gives-15m-worth-of-equipment-to-the-Fiji-Police-Force-84frx5/#.YHe5dxRZ4Lo.facebook,,,China gives $1.5m worth of equipment to the Fiji Police Force,$FJD1.5 million worth of equipment that will help boost Fiji Police Force operations was donated by China this morning. This includes a fully loade,,,,2252,7.36
Fiji Sun,fijisun,7.76984E+14,MEDIA_NEWS_COMPANY,FJ,"Bringing you the best and latest in Fiji's current affairs, sports, events, analysis and business news!! 

",41897.92014,195612,201561,2020-02-03 22:37:22 EST,43864,0.942615741,Link,2143,334,145,1362,5,199,10,74,14,0,,-,0,0,0,N/A,https://www.facebook.com/776984482353833/posts/2872028889516038,The Fijian Ministry of Health and Medical Services is currently investigating two Fijian citizens for novel coronavirus after their arrival into Fiji on Monday February 3rd from Guangdong in China. Both currently have mild symptoms and are under isolation at Nadi Hospital. Lab samples for confirmatory testing for 2019-nCoV are being sent to the WHO Collaborating Centre reference laboratory in Melbourne Australia. The Ministry’s response teams are also managing close contacts of the patients.,https://fijisun.com.fj/2020/02/04/two-fijian-citizens-tested-for-coronavirus-under-isolation-at-nadi-hospital/,,,"Two Fijian Citizens Tested For Coronavirus, Under Isolation At Nadi Hospital",Both currently have mild symptoms and are under isolation at Nadi Hospital....,,,,2143,4.6
